provider,provider_code,provider_name,provider_post,provider_mun,canonical_pcode,canonical_name,subdstcode,distcode,distname,subdistrct,region,status,score,note
intl2024,040209,Samalari,Baucau,Baucau,30106,Samalari,301,3,Baucau,Baucau,1,matched,1.00,name~Samalari(1.00); geom-paired
intl2024,040208,Gariuai,Baucau,Baucau,30107,Gariuai,301,3,Baucau,Baucau,1,matched,1.00,
intl2024,040212,Triloca,Baucau,Baucau,30108,Triloca,301,3,Baucau,Baucau,1,matched,1.00,
intl2024,040211,Tirilolo,Baucau,Baucau,30109,Trilolo,301,3,Baucau,Baucau,1,matched,0.93,
intl2024,040210,Seiçal,Baucau,Baucau,30110,Seical,301,3,Baucau,Baucau,1,matched,1.00,
intl2024,040206,Caibada,Baucau,Baucau,30111,Caibada,301,3,Baucau,Baucau,1,matched,1.00,
intl2024,040204,Builai,Baucau,Baucau,30112,Builai,301,3,Baucau,Baucau,1,new,0.73,
intl2024,040207,Caibada Macasa'e,Baucau,Baucau,30113,Caibada Macasa'e,301,3,Baucau,Baucau,1,new,0.67,
intl2024,040301,Atelari,Laga,Baucau,30201,Atelari,302,3,Baucau,Laga,1,matched,1.00,
intl2024,040308,Tequinomata,Laga,Baucau,30202,Tequino Mata,302,3,Baucau,Laga,1,matched,1.00,
intl2024,040307,Soba,Laga,Baucau,30203,Soba,302,3,Baucau,Laga,1,matched,1.00,
intl2024,040306,Samalari,Laga,Baucau,30204,Samalari,302,3,Baucau,Laga,1,matched,1.00,
intl2024,040305,Sagadate,Laga,Baucau,30205,Sagadati,302,3,Baucau,Laga,1,matched,0.88,
intl2024,040303,Nunira,Laga,Baucau,30206,Nunira,302,3,Baucau,Laga,1,matched,1.00,
intl2024,040302,Libagua,Laga,Baucau,30207,Libagua,302,3,Baucau,Laga,1,matched,1.00,
intl2024,040304,Saelari,Laga,Baucau,30208,Saelari,302,3,Baucau,Laga,1,matched,1.00,
intl2024,040309,Ueru Mata,Laga,Baucau,30209,Ueru Mata,302,3,Baucau,Laga,1,new,0.71,
intl2024,040501,Baguia,Quelicai,Baucau,30301,Baguia,303,3,Baucau,Quelicai,1,matched,1.00,
intl2024,040503,Lacoliu,Quelicai,Baucau,30302,Locoliu,303,3,Baucau,Quelicai,1,matched,0.86,
